Category: All categories

Month,norovirus: (United States)
2010-12,10
2011-01,10
2011-02,9
2011-03,7
2011-04,4
2011-05,4
2011-06,3
2011-07,3
2011-08,2
2011-09,3
2011-10,4
2011-11,5
2011-12,9
2012-01,15
2012-02,77
2012-03,29
2012-04,11
2012-05,8
2012-06,6
2012-07,4
2012-08,3
2012-09,4
2012-10,5
2012-11,9
2012-12,18
2013-01,90
2013-02,67
2013-03,40
2013-04,23
2013-05,12
2013-06,9
2013-07,7
2013-08,6
2013-09,5
2013-10,7
2013-11,8
2013-12,23
2014-01,47
2014-02,40
2014-03,30
2014-04,26
2014-05,14
2014-06,9
2014-07,7
2014-08,5
2014-09,6
2014-10,8
2014-11,16
2014-12,14
2015-01,14
2015-02,17
2015-03,16
2015-04,14
2015-05,10
2015-06,7
2015-07,5
2015-08,5
2015-09,7
2015-10,9
2015-11,10
2015-12,41
2016-01,26
2016-02,33
2016-03,32
2016-04,18
2016-05,13
2016-06,7
2016-07,11
2016-08,6
2016-09,6
2016-10,7
2016-11,12
2016-12,21
2017-01,46
2017-02,46
2017-03,24
2017-04,14
2017-05,29
2017-06,9
2017-07,15
2017-08,8
2017-09,8
2017-10,8
2017-11,11
2017-12,29
2018-01,26
2018-02,33
2018-03,13
2018-04,13
2018-05,12
2018-06,8
2018-07,8
2018-08,8
2018-09,16
2018-10,9
2018-11,20
2018-12,23
2019-01,49
2019-02,26
2019-03,24
2019-04,19
2019-05,12
2019-06,10
2019-07,8
2019-08,7
2019-09,8
2019-10,11
2019-11,28
2019-12,35
2020-01,35
2020-02,42
2020-03,39
2020-04,10
2020-05,6
2020-06,4
2020-07,5
2020-08,5
2020-09,6
2020-10,5
2020-11,4
2020-12,6
2021-01,5
2021-02,7
2021-03,8
2021-04,16
2021-05,18
2021-06,11
2021-07,10
2021-08,8
2021-09,9
2021-10,7
2021-11,9
2021-12,14
2022-01,12
2022-02,19
2022-03,29
2022-04,39
2022-05,22
2022-06,14
2022-07,9
2022-08,8
2022-09,9
2022-10,11
2022-11,13
2022-12,20
2023-01,21
2023-02,100
2023-03,85
2023-04,44
2023-05,29
2023-06,22
2023-07,19
2023-08,11
2023-09,13
2023-10,13
2023-11,22
2023-12,36
