Category: All categories

Month,norovirus: (United States),stomach bug: (United States),vomiting: (United States),diarrhea: (United States)
2011-01,3,2,18,37
2011-02,3,2,17,39
2011-03,2,2,17,41
2011-04,1,1,16,39
2011-05,1,1,16,38
2011-06,1,1,15,42
2011-07,1,1,15,45
2011-08,1,1,14,44
2011-09,1,1,14,44
2011-10,1,1,15,41
2011-11,1,1,16,41
2011-12,3,2,18,42
2012-01,5,3,19,46
2012-02,23,3,20,48
2012-03,9,2,17,47
2012-04,3,1,17,49
2012-05,2,1,16,48
2012-06,2,1,16,51
2012-07,1,1,17,54
2012-08,1,1,16,52
2012-09,1,1,17,52
2012-10,2,2,19,48
2012-11,3,2,21,48
2012-12,5,3,22,52
2013-01,27,4,22,53
2013-02,20,3,20,53
2013-03,12,3,21,59
2013-04,7,3,19,60
2013-05,4,2,17,54
2013-06,3,2,18,60
2013-07,2,4,17,60
2013-08,2,2,18,60
2013-09,2,2,17,54
2013-10,2,2,17,49
2013-11,2,3,19,54
2013-12,7,4,22,54
2014-01,14,4,22,59
2014-02,12,4,22,58
2014-03,9,5,22,58
2014-04,8,4,21,60
2014-05,4,3,19,60
2014-06,3,2,18,59
2014-07,2,2,18,62
2014-08,1,2,17,57
2014-09,2,2,18,54
2014-10,2,2,19,51
2014-11,5,3,20,52
2014-12,4,4,22,56
2015-01,4,4,22,58
2015-02,5,4,21,60
2015-03,5,5,23,65
2015-04,4,4,22,63
2015-05,3,3,19,59
2015-06,2,2,19,63
2015-07,2,2,18,64
2015-08,2,2,18,61
2015-09,2,2,18,59
2015-10,3,2,19,55
2015-11,3,3,20,56
2015-12,13,4,22,60
2016-01,8,4,22,63
2016-02,10,5,24,62
2016-03,10,6,25,65
2016-04,6,3,22,65
2016-05,3,3,21,65
2016-06,2,2,20,69
2016-07,3,2,20,70
2016-08,2,2,19,67
2016-09,2,2,20,63
2016-10,2,3,19,60
2016-11,3,4,21,60
2016-12,6,7,25,64
2017-01,14,8,26,69
2017-02,13,7,24,67
2017-03,7,5,24,69
2017-04,4,4,23,70
2017-05,9,3,22,67
2017-06,3,3,22,71
2017-07,4,3,21,80
2017-08,3,2,19,71
2017-09,2,3,19,63
2017-10,2,3,21,64
2017-11,3,4,24,67
2017-12,9,8,28,76
2018-01,8,8,29,78
2018-02,10,6,27,76
2018-03,4,5,23,75
2018-04,4,5,24,77
2018-05,4,4,22,76
2018-06,2,3,21,79
2018-07,2,3,22,82
2018-08,2,3,22,78
2018-09,5,3,20,74
2018-10,3,3,22,71
2018-11,6,4,23,74
2018-12,7,8,29,79
2019-01,15,8,27,77
2019-02,8,7,27,77
2019-03,7,7,25,79
2019-04,6,6,25,79
2019-05,4,4,23,76
2019-06,3,3,22,80
2019-07,2,3,21,85
2019-08,2,3,20,76
2019-09,2,3,20,75
2019-10,3,4,21,73
2019-11,9,6,23,72
2019-12,10,8,26,76
2020-01,10,7,26,82
2020-02,13,7,25,77
2020-03,11,5,28,95
2020-04,3,2,21,79
2020-05,2,2,20,73
2020-06,1,2,20,79
2020-07,1,2,23,92
2020-08,1,2,20,86
2020-09,2,2,19,75
2020-10,2,2,20,76
2020-11,1,2,20,70
2020-12,2,2,20,77
2021-01,2,2,21,76
2021-02,2,3,21,74
2021-03,3,5,22,74
2021-04,5,6,25,83
2021-05,5,5,23,84
2021-06,3,5,23,87
2021-07,3,4,23,95
2021-08,2,4,23,98
2021-09,3,4,24,88
2021-10,2,5,21,81
2021-11,3,6,24,81
2021-12,4,9,28,93
2022-01,3,6,34,100
2022-02,6,10,29,88
2022-03,8,14,30,93
2022-04,12,12,28,89
2022-05,7,8,27,91
2022-06,4,6,25,92
2022-07,3,5,24,98
2022-08,2,4,22,93
2022-09,3,5,23,86
2022-10,4,6,24,81
2022-11,4,8,26,84
2022-12,6,10,28,91
2023-01,6,10,29,90
2023-02,30,16,30,93
2023-03,25,16,30,95
2023-04,14,11,28,92
2023-05,9,10,27,92
2023-06,7,8,25,93
2023-07,6,6,23,98
2023-08,4,5,21,91
2023-09,4,6,22,100
2023-10,4,7,25,87
2023-11,7,10,27,85
2023-12,11,14,30,92
