"Year","Month","State","Primary Mode","Etiology","Serotype or Genotype","Etiology Status","Setting","Illnesses","Hospitalizations","Info On Hospitalizations","Deaths","Info On Deaths","Food Vehicle","Food Contaminated Ingredient","IFSAC Category","Water Exposure","Water Type","Animal Type"
"2011","1","Wyoming","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Other","24","0","24","0","24","coleslaw;cake, brownie",,"Multiple",,,
"2011","1","Minnesota","Food","Norovirus Genogroup I",,"Confirmed","Restaurant: Sit-down dining","3","0","3","0","3",,,,,,
"2011","1","Minnesota","Food","Norovirus Genogroup I",,"Suspected","Restaurant: Sit-down dining","22","1","13","0","22",,,,,,
"2011","1","Minnesota","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Fast-food (drive up service or pay at counter);Private home/residence","6","0","6","0","6",,,,,,
"2011","1","Rhode Island","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","14","0","11","0","11",,,,,,
"2011","1","California","Food","Norovirus unknown",,"Confirmed","Restaurant: Sit-down dining","18","0","18","0","18","potatoes;orange juice, unspecified",,"Multiple",,,
"2011","1","Kansas","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Sit-down dining","3","0","2","0","2",,,,,,
"2011","1","Oregon","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","22",,"22",,"22",,,,,,
"2011","1","Washington","Food","Norovirus",,"Suspected","Restaurant: Fast-food (drive up service or pay at counter)","4","0","4","0","4",,,,,,
"2011","1","Virginia","Food","Norovirus",,"Suspected","Restaurant: Sit-down dining","7","0","7","0","7",,,,,,
"2011","1","Virginia","Food","Norovirus",,"Confirmed","Restaurant: Sit-down dining","15","0",,"0",,,,,,,
"2011","1","Ohio","Food","Norovirus Genogroup II","GII.4 New Orleans","Suspected","Restaurant: Sit-down dining","2","0","2","0","2",,,,,,
"2011","2","California","Food","Norovirus unknown",,"Suspected","Restaurant: Sit-down dining","8","1","8","0","8",,,,,,
"2011","2","Arizona","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Fast-food (drive up service or pay at counter)","17","0","1","0","1",,,,,,
"2011","2","Virginia","Food","Norovirus unknown",,"Confirmed","Restaurant: Sit-down dining","152","0","152","0","152",,,,,,
"2011","2","New Hampshire","Food","Norovirus Genogroup II","GII.4 New Orleans","Confirmed","Banquet Facility (food prepared and served on-site);Restaurant: Sit-down dining","58","0","0","0","58",,,,,,
"2011","2","Minnesota","Food","Norovirus",,"Suspected","Restaurant: Other","9","0","9","0","9",,,,,,
"2011","2","New York","Food","Other;Norovirus",,"Suspected;Confirmed","Restaurant: Sit-down dining","8","0","8","0","8",,,,,,
"2011","2","Minnesota","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Sit-down dining","5","0","5","0","5",,,,,,
"2011","2","Illinois","Food","Norovirus Genogroup I",,"Confirmed","Restaurant: Sit-down dining","111","0","111","0","111",,,,,,
"2011","2","Illinois","Food","Norovirus Genogroup I",,"Confirmed","Restaurant: Sit-down dining","4","0","4","0","4",,,,,,
"2011","2","Illinois","Food","Norovirus Genogroup I",,"Confirmed","Restaurant: Sit-down dining","12","0","12","0","12",,,,,,
"2011","2","California","Food","Norovirus unknown",,"Confirmed","Restaurant: Other","14","0","14","0","14","hummus",,"N/A",,,
"2011","2","Pennsylvania","Food","Norovirus",,"Confirmed","Restaurant: Sit-down dining","24","0","24","0","24","garden salad",,"Multiple",,,
"2011","2","Colorado","Food","Norovirus unknown",,"Confirmed","Restaurant: Fast-food (drive up service or pay at counter)","3","0","3","0","3",,,,,,
"2011","2","California","Food","Norovirus unknown",,"Confirmed","Restaurant: Other","27","0","27","0","27","salsa;cilantro, unspecified","cilantro","Herbs",,,
"2011","2","California","Food","Norovirus unknown",,"Confirmed","Restaurant: Other","18","0","18","0","18","coleslaw",,"Multiple",,,
"2011","3","Alabama","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","18","2","18","0","18","salsa;chips","tomato;peppers;onion;cilantro;corn","Multiple",,,
"2011","3","Illinois","Food","Norovirus",,"Suspected","Restaurant: Sit-down dining","10","1","10","0","10",,,,,,
"2011","3","Minnesota","Food","Norovirus",,"Confirmed","Restaurant: Sit-down dining","5","0","5","0","5","artichoke dip",,"Multiple",,,
"2011","3","Florida","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","78","3","78","0","78","shredded lettuce",,"Vegetable Row Crops",,,
"2011","3","Florida","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","44","0","44","0","44",,,,,,
"2011","3","California","Food","Norovirus unknown",,"Confirmed","Restaurant: Other","8","0","8","0","8",,,,,,
"2011","3","California","Food","Norovirus unknown",,"Confirmed","Restaurant: Sit-down dining","21","0","21","0","21",,,,,,
"2011","3","California","Food","Norovirus unknown",,"Suspected","Restaurant: Sit-down dining","7","1","7","0","7",,,,,,
"2011","3","Washington","Food","Norovirus",,"Suspected","Restaurant: Sit-down dining","6","0","6","0","6",,,,,,
"2011","3","Wisconsin","Environmental contamination other than food/water","Norovirus Genogroup II","GII.3","Confirmed","Restaurant","51","0","51","0","51",,,,,,
"2011","4","Alabama","Food","Norovirus Genogroup I",,"Confirmed","Restaurant: Fast-food (drive up service or pay at counter)","21","2","21","0","21","lettuce","lettuce","Vegetable Row Crops",,,
"2011","4","Washington","Food","Norovirus",,"Suspected","Restaurant: Sit-down dining","5","0","5","0","5",,,,,,
"2011","4","Connecticut","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","24","0",,"0",,"Salads",,"Multiple",,,
"2011","4","Tennessee","Food","Norovirus Genogroup II","GII.4 New Orleans","Confirmed","Restaurant: Sit-down dining","3","0","3","0","3",,,,,,
"2011","4","Maryland","Food","Norovirus Genogroup I",,"Confirmed","Restaurant: Sit-down dining","6","0","6","0","6",,,,,,
"2011","4","New York","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","9","0","9","0","9","salad, unspecified;bread, unspecified","lettuce;bread","Multiple",,,
"2011","4","Connecticut","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","3","0","3","0","3",,,,,,
"2011","4","Florida","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Sit-down dining","3","0","3","0","3","blue cheese dressing",,"Multiple",,,
"2011","4","Minnesota","Food","Norovirus",,"Confirmed","Restaurant: Sit-down dining;Banquet Facility (food prepared and served on-site)","61","0","61","0","61","fruit","fruit, unspecified","Fruits",,,
"2011","4","Florida","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Sit-down dining","24","0","24","0","24","fruit cup, water, ice",,"Multiple",,,
"2011","4","Massachusetts","Food","Norovirus Genogroup I",,"Confirmed","Restaurant: Sit-down dining","197",,,"0","197",,,,,,
"2011","4","Arizona","Food","Norovirus Genogroup I",,"Confirmed","Restaurant: Sit-down dining","5","0","4","0","4",,,,,,
"2011","4","Washington","Food","Norovirus",,"Suspected","Restaurant: Sit-down dining","3","0","3","0","3",,,,,,
"2011","5","Washington","Food","Norovirus",,"Suspected","Restaurant: Sit-down dining","5","0","5","0","5",,,,,,
"2011","5","Florida","Food","Norovirus",,"Suspected","Restaurant: Sit-down dining","7","0","7","0","7","house salad","lettuce;cherry tomato","Multiple",,,
"2011","5","New York","Food","Norovirus",,"Confirmed","Restaurant: Other","20","0","20","0","20",,,,,,
"2011","5","Minnesota","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","9","0","9","0","9",,,,,,
"2011","5","Minnesota","Food","Norovirus",,"Suspected","Restaurant: Fast-food (drive up service or pay at counter)","5","0","5","0","5",,,,,,
"2011","5","Tennessee","Food","Norovirus Genogroup I","GI.3","Confirmed","Restaurant: Sit-down dining","6","0","6","0","6",,,,,,
"2011","5","Minnesota","Food","Norovirus",,"Suspected","Restaurant: Sit-down dining","7","0","7","0","7",,,,,,
"2011","5","Tennessee","Food","Norovirus Genogroup I","GI.3","Confirmed","Restaurant: Fast-food (drive up service or pay at counter)","5","0","5","0","5",,,,,,
"2011","5","Arizona","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","8","0","6","0","6",,,,,,
"2011","5","Arizona","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Fast-food (drive up service or pay at counter);Private home/residence","21","1","2","0","2",,,,,,
"2011","5","Colorado","Food","Norovirus unknown",,"Confirmed","Restaurant: Sit-down dining","5","0","5","0","5",,,,,,
"2011","5","Arizona","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","8","0","6","0","6",,,,,,
"2011","5","Colorado","Food","Norovirus unknown",,"Confirmed","Restaurant: Fast-food (drive up service or pay at counter)","17","0","17","0","17",,,,,,
"2011","5","Washington","Food","Norovirus",,"Suspected","Restaurant: Sit-down dining","3","0","3","0","3",,,,,,
"2011","5","California","Food","Norovirus unknown",,"Suspected","Restaurant: Other","22","0","22","0","22",,,,,,
"2011","5","New Jersey","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","42","1","42","0","42",,,,,,
"2011","6","Virginia","Food","Norovirus",,"Confirmed","Restaurant: Other","14","0","14","0","14",,,,,,
"2011","6","Connecticut","Food","Norovirus Genogroup II",,"Confirmed","Banquet Facility (food prepared and served on-site);Restaurant: Sit-down dining","23","0","23","0","23","garden salad",,"Multiple",,,
"2011","7","Illinois","Food","Norovirus Genogroup II",,"Confirmed","Grocery store/bakery/deli/convenience store;Restaurant: Sit-down dining","8","0","8","0","8",,,,,,
